1788359014.999815,-32.834989,-70.129449,2873.516466,-1.0,0.231839,13.5,13.7
1788359075.999392,-32.835012,-70.129531,2869.371747,-1.0,0.161488,13.1,15.1
1788359099.999527,-32.835001,-70.129420,2872.317879,-1.0,0.068965,11.7,15.0
1788359160.999839,-32.835034,-70.129488,2872.448337,-1.0,0.051487,9.4,12.9
1788359222.000011,-32.835014,-70.129491,2872.908349,-1.0,0.000000,10.3,11.5
1788359283.000002,-32.835023,-70.129473,2873.541890,89.8,0.000000,9.3,10.9
1788359298.999999,-32.835009,-70.129367,2874.981764,97.9,0.831932,8.4,8.9
1788359305.000001,-32.834977,-70.129236,2870.341546,70.5,3.708376,7.4,8.3
1788359308.000002,-32.834917,-70.129117,2868.352968,54.8,4.516150,7.4,8.1
1788359311.000002,-32.834802,-70.129076,2867.522101,353.2,4.436951,7.8,8.1
1788359313.000001,-32.834690,-70.129077,2864.589656,4.6,6.357421,7.0,8.3
1788359315.000002,-32.834573,-70.129062,2860.566993,354.3,6.994302,7.3,8.8
1788359317.000001,-32.834426,-70.129074,2857.021293,1.8,8.466109,7.3,9.4
1788359319.000001,-32.834286,-70.129096,2855.158616,343.2,7.532534,7.5,7.7
1788359323.000000,-32.834194,-70.129103,2853.198613,341.7,2.113603,6.5,5.5
1788359329.000000,-32.834150,-70.129115,2852.997911,326.9,0.000000,6.0,5.1
1788359329.000000,-32.834150,-70.129115,2852.997911,326.9,0.000000,6.0,5.1
1788359390.000052,-32.834082,-70.129128,2856.191208,356.5,0.085157,6.2,5.6
1788359424.000011,-32.834051,-70.129016,2855.205154,80.0,2.206972,4.3,5.7
1788359430.000004,-32.834051,-70.129001,2855.213835,96.8,0.000000,5.2,5.7
1788359430.000004,-32.834051,-70.129001,2855.213835,96.8,0.000000,5.2,5.7
1788359438.999996,-32.833970,-70.128896,2852.022488,55.0,3.131385,5.3,6.1
1788359443.999991,-32.833922,-70.128803,2855.853312,55.1,2.042081,6.0,5.8
1788359448.999986,-32.833868,-70.128699,2856.125280,59.3,2.906109,5.5,5.3
1788359454.999981,-32.833809,-70.128584,2859.956100,55.5,0.000000,5.6,5.1
1788359454.999981,-32.833809,-70.128584,2859.956100,55.5,0.000000,5.6,5.1
1788359459.999976,-32.833756,-70.128473,2864.896538,62.1,2.563140,5.4,5.6
1788359466.000231,-32.833701,-70.128372,2864.670684,61.0,0.000000,5.6,7.3
